,Date,State/UnionTerritory,Confirmed,new_cases,T,H
16555,29-06-2021,Tamil Nadu,2470678,4804.0,11.47,19.0
16591,30-06-2021,Tamil Nadu,2475190,4512.0,33.2,67.0
16627,01-07-2021,Tamil Nadu,2479696,4506.0,32.4,64.0
16663,02-07-2021,Tamil Nadu,2484177,4481.0,33.67,60.0
16699,03-07-2021,Tamil Nadu,2488407,4230.0,31.2,66.0
16735,04-07-2021,Tamil Nadu,2492420,4013.0,31.33,72.0
16771,05-07-2021,Tamil Nadu,2496287,3867.0,33.47,59.0
16807,06-07-2021,Tamil Nadu,2500002,3715.0,33.4,63.0
16843,07-07-2021,Tamil Nadu,2503481,3479.0,34.07,62.0
16879,08-07-2021,Tamil Nadu,2506848,3367.0,33.27,63.0
16915,09-07-2021,Tamil Nadu,2510059,3211.0,28.47,77.0
16951,10-07-2021,Tamil Nadu,2513098,3039.0,30.8,70.0
16987,11-07-2021,Tamil Nadu,2516011,2913.0,31.07,56.0
17023,12-07-2021,Tamil Nadu,2518786,2775.0,31.07,60.0
17059,13-07-2021,Tamil Nadu,2521438,2652.0,31.87,63.0
17095,14-07-2021,Tamil Nadu,2523943,2505.0,31.8,60.0
17131,15-07-2021,Tamil Nadu,2526401,2458.0,28.33,80.0
17167,16-07-2021,Tamil Nadu,2528806,2405.0,32.0,68.0
17203,17-07-2021,Tamil Nadu,2531118,2312.0,30.6,72.0
17239,18-07-2021,Tamil Nadu,2533323,2205.0,29.53,73.0
17275,19-07-2021,Tamil Nadu,2535402,2079.0,32.53,53.0
17311,20-07-2021,Tamil Nadu,2537373,1971.0,32.0,60.0
17347,21-07-2021,Tamil Nadu,2539277,1904.0,30.33,67.0
17383,22-07-2021,Tamil Nadu,2541168,1891.0,30.47,61.0
17419,23-07-2021,Tamil Nadu,2543040,1872.0,30.8,64.0
17455,24-07-2021,Tamil Nadu,2544870,1830.0,32.73,58.0
17491,25-07-2021,Tamil Nadu,2546689,1819.0,33.8,55.0
17527,26-07-2021,Tamil Nadu,2548497,1808.0,32.87,61.0
17563,27-07-2021,Tamil Nadu,2550282,1785.0,32.8,57.0
17599,28-07-2021,Tamil Nadu,2552049,1767.0,32.2,55.0
17635,29-07-2021,Tamil Nadu,2553805,1756.0,32.67,56.0
17671,30-07-2021,Tamil Nadu,2555664,1859.0,32.67,58.0
17707,31-07-2021,Tamil Nadu,2557611,1947.0,33.27,52.0
17743,01-08-2021,Tamil Nadu,2559597,1986.0,31.13,62.0
17779,02-08-2021,Tamil Nadu,2561587,1990.0,32.6,52.0
17815,03-08-2021,Tamil Nadu,2563544,1957.0,33.07,53.0
17851,04-08-2021,Tamil Nadu,2565452,1908.0,33.47,54.0
17887,05-08-2021,Tamil Nadu,2567401,1949.0,33.47,55.0
17923,06-08-2021,Tamil Nadu,2569398,1997.0,33.27,57.0
17959,07-08-2021,Tamil Nadu,2571383,1985.0,33.33,59.0
17995,08-08-2021,Tamil Nadu,2573352,1969.0,32.8,66.0
18031,09-08-2021,Tamil Nadu,2575308,1956.0,33.73,62.0
18067,10-08-2021,Tamil Nadu,2577237,1929.0,31.47,62.0
18103,11-08-2021,Tamil Nadu,2579130,1893.0,33.27,60.0
