"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,1.06525361201377,0.753248052738399,0.129007154416104,0.189275066421209,2.52670940655976,0.893932596663842,2.52670940655976,2.52670940655976,2.96760662352515
3,9,0.503214037126216,0.503214037126216,0.0127402763669609,0.0258115057462628,1.5074945315244,0.348801391052224,1.5074945315244,1.5074945315244,1.85629592257663
4,10,0.517751760781395,0.517751760781395,0.0131083396629913,0.0265571934854327,1.55104565946223,0.358878173215571,1.55104565946223,1.55104565946223,1.9099238326778
5,11,0.600186004985695,0.600186004985695,0.0151953940290859,0.0307855174410192,1.79799658527108,0.416017237167372,1.79799658527108,1.79799658527108,2.21401382243846
6,12,0.766755337276243,0.766755337276243,0.0194125644000893,0.0393294072381359,2.29699370979822,0.531474300212318,2.29699370979822,2.29699370979822,2.82846801001053
7,13,1.03468855248486,1.03468855248486,0.0261960460953545,0.0530725845220345,3.09964988975576,0.717191452912532,3.09964988975576,3.09964988975576,3.81684134266829
8,14,1.42370739177861,1.42370739177861,0.0360451503708651,0.0730266423682322,4.26504618164857,0.9868387645537,4.26504618164857,4.26504618164857,5.25188494620227
9,15,1.93882628078609,1.93882628078609,0.0490868314918371,0.0994487871866807,5.80820446216554,1.3438919701224,5.80820446216554,5.80820446216554,7.15209643228795
10,16,2.54926824754216,2.54926824754216,0.0645418839917195,0.130760366694015,7.63692516310846,1.76701809827484,7.63692516310846,7.63692516310846,9.4039432613833
11,17,3.18273457512966,3.18273457512966,0.0805798628380932,0.163252941519561,9.53462068487207,2.20610349722178,9.53462068487207,9.53462068487207,11.7407241820939
12,18,3.7525403561776,3.7525403561776,0.0950060961910034,0.192480157190582,11.241606252815,2.60106276782192,11.241606252815,11.241606252815,13.842669020637
13,19,4.20022055800838,4.20022055800838,0.106340377579323,0.215443149574566,12.5827362816706,2.91137103751343,12.5827362816706,12.5827362816706,15.4941073191841
14,20,4.51428689487211,4.51428689487211,0.114291848790368,0.231552646648537,13.5235949430502,3.12906523341931,13.5235949430502,13.5235949430502,16.6526601764695
15,21,4.71652660274227,4.71652660274227,0.119412114881024,0.241926187521173,14.129450962911,3.26924711672678,14.129450962911,14.129450962911,17.3986980796378
16,22,4.83912807855316,4.83912807855316,0.122516115504194,0.248214821112289,14.496732160783,3.35422798401759,14.496732160783,14.496732160783,17.8509601448006
17,23,4.91047237418883,4.91047237418883,0.124322396681873,0.251874305071202,14.7104605697528,3.40368008138649,14.7104605697528,14.7104605697528,18.1141406511392
18,24,4.95086406958271,4.95086406958271,0.125345025870015,0.253946128193852,14.8314632752278,3.43167747116679,14.8314632752278,14.8314632752278,18.2631407463945
19,25,4.97330712707238,4.97330712707238,0.125913234890119,0.255097306548627,14.8986966668668,3.4472338131889,14.8986966668668,14.8986966668668,18.3459304800557
20,26,4.98561308983765,4.98561308983765,0.126224794892472,0.255728519919468,14.9355620366799,3.45576365658372,14.9355620366799,14.9355620366799,18.3913256932636
21,27,4.99229479684791,4.99229479684791,0.126393961067565,0.256071246684157,14.9555786420129,3.46039506295921,14.9555786420129,14.9555786420129,18.4159737049722
22,28,4.99589515761551,4.99589515761551,0.126485114310153,0.25625592104891,14.9663643589609,3.46289064287427,14.9663643589609,14.9663643589609,18.4292550018351
23,29,4.99782317587481,4.99782317587481,0.126533927506232,0.25635481545707,14.9721401854843,3.46422704329478,14.9721401854843,14.9721401854843,18.4363672287791
24,30,4.99885025738592,4.99885025738592,0.126559930958715,0.256407497851379,14.9752170467147,3.46493896194841,14.9752170467147,14.9752170467147,18.4401560086631
25,31,4.9993949219758,4.9993949219758,0.126573720672217,0.25643543549253,14.9768487160048,3.46531649467323,14.9768487160048,14.9768487160048,18.4421652106781
26,32,4.99968260258926,4.99968260258926,0.12658100411475,0.256450191578926,14.977710530103,3.46551589967935,14.977710530103,14.977710530103,18.4432264297824
27,33,4.99983400315992,4.99983400315992,0.126584837245326,0.256457957412967,14.9781640856788,3.46562084255804,14.9781640856788,14.9781640856788,18.4437849282369
28,34,4.99991342232739,4.99991342232739,0.126586847964558,0.256462031083704,14.9784020042419,3.46567589173005,14.9784020042419,14.9784020042419,18.444077895972
29,35,4.9999549584765,4.9999549584765,0.126587899568806,0.256464161609628,14.9785264354244,3.46570468239471,14.9785264354244,14.9785264354244,18.4442311178191
30,36,4.99997662229827,4.99997662229827,0.126588448049286,0.256465272818416,14.9785913344344,3.46571969861168,14.9785913344344,14.9785913344344,18.4443110330461
31,37,29.9999273568093,12.2474190574575,11.0094446086836,13.0650420846935,52.5650472603077,28.3507372937936,52.5650472603077,52.5650472603077,58.3415191258012
32,38,24.6427799471619,9.31409533621139,9.90767562428958,11.5656159503312,41.6899357299743,23.4797712507947,41.6899357299743,41.6899357299743,45.974534937515
33,39,14.5317559729403,4.03038394484356,7.73754803504258,8.59562117452299,21.7334363837922,14.1608933300693,21.7334363837922,21.7334363837922,23.4314337481647
