"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,8,5,5,0.126589039921449,0.256466471937753,14.97866136777,3.46573590279973,14.97866136777,14.97866136777,18.4443972705697
3,9,5,5,0.126589039921449,0.256466471937753,14.97866136777,3.46573590279973,14.97866136777,14.97866136777,18.4443972705697
4,10,5,5,0.126589039921449,0.256466471937753,14.97866136777,3.46573590279973,14.97866136777,14.97866136777,18.4443972705697
5,11,5,5,0.126589039921449,0.256466471937753,14.97866136777,3.46573590279973,14.97866136777,14.97866136777,18.4443972705697
6,12,10,7.07106781186548,1.21104639271982,1.77680755349331,23.7193225919529,8.3917349500833,23.7193225919529,23.7193225919529,27.8582169546945
7,13,13.8368902327063,7.98873230060027,2.8534994181806,3.77143559954346,29.0380684245383,12.3335596788763,29.0380684245383,29.0380684245383,33.322403407961
8,14,8.51383000187516,4.91546204341734,1.75575642707746,2.32056199171373,17.8671055411693,7.58883164193445,17.8671055411693,17.8671055411693,20.5032542065486
9,15,10.5061339060539,3.97094536516604,4.22401072564546,4.93085236895794,17.7739706418283,10.0103000300002,17.7739706418283,17.7739706418283,19.6006546890305
10,16,8.00438766691691,2.66812922230564,3.66011574060186,4.17582460192245,12.837836906287,7.70996066058655,12.837836906287,12.837836906287,14.019408598377
11,17,7.54700859742629,1.94862924076775,4.22400342152194,4.65214238066975,11.0118331567925,7.37997606902046,11.0118331567925,11.0118331567925,11.8184248371186
12,18,5.32498733433647,1.2551115512806,3.15592497439328,3.44180689758991,7.54350429036312,5.22670771669364,7.54350429036312,7.54350429036312,8.05216386402669
13,19,4.53855408500283,0.907710817000567,2.93711290361708,3.15558872980447,6.12748431045492,4.47818557294694,6.12748431045492,6.12748431045492,6.48288837239914
14,20,3.250402451486,0.625540243446687,2.14203569688873,2.29431571540107,4.34309242059058,3.21036329410823,4.34309242059058,4.34309242059058,4.58620037302442
15,21,3.22359117801392,0.522935542042008,2.2812049759706,2.41429235716656,4.1292069642756,3.19535858389595,4.1292069642756,4.1292069642756,4.32636697139833
16,22,2.73813790053852,0.417562115205644,1.98160397545155,2.08936726715966,3.45921992516761,2.71694152604671,3.45921992516761,3.45921992516761,3.61509334691004
17,23,2.89201328963684,0.37650806071989,2.20153451082597,2.30180453545061,3.53790455908311,2.8756907440565,3.53790455908311,3.53790455908311,3.67523174742414
18,24,2.31134172559093,0.298392933686933,1.76379723455084,1.84338434105817,2.82306040988362,2.29851369776554,2.82306040988362,2.82306040988362,2.93177138524474
19,25,6.61646880002047,0.449155168971737,5.765366164148,5.89541033669183,7.37218734929735,6.60630803365149,7.37218734929735,7.37218734929735,7.52531086492045
20,26,4.90736779352982,0.339449728229512,4.26456928106527,4.36268664478693,5.47873972213757,4.8995432736877,5.47873972213757,5.47873972213757,5.59462971364246
21,27,4.17962497115549,0.249335521916447,3.70517325147984,3.77813311244926,4.59802586511569,4.17466798136086,4.59802586511569,4.59802586511569,4.68224558669242
22,28,3.62037879572066,0.187707896389432,3.26178090236604,3.31725786353526,3.93456391229755,3.6171352459836,3.93456391229755,3.93456391229755,3.99740888813038
23,29,3.00980044131142,0.14397828065704,2.73418718828588,2.77695699116897,3.25047411221109,3.00750494782771,3.25047411221109,3.25047411221109,3.29845841709707
24,30,2.56854165849304,0.114298603643612,2.34937616012035,2.38347287025522,2.75939300777901,2.56684645054924,2.75939300777901,2.75939300777901,2.79734064268301
25,31,2.14569958421726,0.0916597435467842,1.96978664034331,1.99719134228097,2.29865943507383,2.14439455538552,2.29865943507383,2.29865943507383,2.32902872827825
26,32,1.4365543701625,0.0671991790749224,1.30784852867825,1.32783728700851,1.54884521810499,1.43550669113763,1.54884521810499,1.54884521810499,1.57121392044539
27,33,1.33591275013039,0.0594473371396227,1.22192355992331,1.23965744781104,1.43517559449489,1.33503106308484,1.43517559449489,1.43517559449489,1.45491236969489
28,34,1.25026647225595,0.0545142087671137,1.14568941224278,1.16197009264137,1.3412652149029,1.24947425076088,1.3412652149029,1.3412652149029,1.35934555351245
29,35,1.11571377975322,0.0498464155819621,1.02014268443661,1.03500917177934,1.19895024774067,1.11497154308338,1.19895024774067,1.19895024774067,1.2155028384335
30,36,1.03052656114443,0.0467938006561087,0.940841190727291,0.95478438004179,1.10868442846289,1.02981838207058,1.10868442846289,1.10868442846289,1.12423634994411
31,37,1.04158841833541,0.0463500762751667,0.95271298816713,0.966539798513923,1.11898196746576,1.04090098196267,1.11898196746576,1.11898196746576,1.13437039493725
32,38,1.12562668850505,0.0478665157567994,1.03375259156228,1.04806735133993,1.20550021178674,1.12494826416078,1.20550021178674,1.20550021178674,1.22135612693709
33,39,1.0396547283919,0.0458126610359984,0.951790648988325,0.965464625345123,1.11613996413119,1.03898189019506,1.11613996413119,1.11613996413119,1.13134239793692
34,40,1.00385473963132,0.0446709496112278,0.91819900437096,0.93152491012824,1.07844454856522,1.00319220705241,1.07844454856522,1.07844454856522,1.09327549866105
35,41,0.851097719488116,0.0408539978842798,0.772898645642546,0.785032089312334,0.919392847559967,0.850444123934302,0.919392847559967,0.919392847559967,0.933011014763417
36,42,0.807930525802341,0.0397556621676766,0.731879948335211,0.743669175019554,0.874415896021308,0.807278536700257,0.874415896021308,0.874415896021308,0.887686190135429
37,43,0.805096661321255,0.0400550559864272,0.728494398058815,0.740364199389378,0.872094706392308,0.804432487672799,0.872094706392308,0.872094706392308,0.885473250523705
38,44,0.833338866164594,0.0415115657255162,0.753953606216424,0.766254062807217,0.902774545888974,0.832649688152551,0.902774545888974,0.902774545888974,0.916640545037021
39,45,0.752002572614346,0.0403115692165055,0.675059561996037,0.68694699350924,0.819514806040691,0.751282386423435,0.819514806040691,0.819514806040691,0.833038193221395
40,46,0.886801585381439,0.0447332225599504,0.801282496043484,0.814526984261925,0.96164153057966,0.886049534708788,0.96164153057966,0.96164153057966,0.976594379160973
41,47,0.917392722695892,0.0465735591455382,0.828369901425928,0.842153599667305,0.995319878169235,0.91660470510363,0.995319878169235,0.995319878169235,1.01089363700923
42,48,1.02387432837932,0.0501393415781954,0.927948866736561,0.94282175097897,1.10771832945958,1.02305600008221,1.10771832945958,1.10771832945958,1.12445014124384
43,49,1.08671161765265,0.0522240275446282,0.986751835100806,1.00226103576347,1.17401547471769,1.08587515670755,1.17401547471769,1.17401547471769,1.19142479997897
44,50,1.13352334109071,0.0534348027412317,1.03119890318441,1.04708608983615,1.22282435651268,1.1326838048319,1.22282435651268,1.22282435651268,1.24061866028604
45,51,1.01720147710139,0.0502973759448445,0.920996766317209,0.935907515675682,1.10132290672983,1.01637258226433,1.10132290672983,1.10132290672983,1.11811658326366
46,52,1.01756252473921,0.0497706099684892,0.922339701515509,0.937104305330094,1.10078832372248,1.01675118650927,1.10078832372248,1.10078832372248,1.1173959767488
47,53,1.11190313399973,0.0516745209074233,1.01291637007013,1.02829314530444,1.19824339980689,1.11110273032115,1.19824339980689,1.19824339980689,1.21543840183315
48,54,1.27425609351828,0.055142454125154,1.16845645674286,1.18493156569903,1.36629357878691,1.27346076605912,1.36629357878691,1.36629357878691,1.3845754036802
49,55,1.50490516933808,0.0594401804554362,1.39064392245474,1.40848758099502,1.60399198755044,1.5041226597362,1.60399198755044,1.60399198755044,1.62361326610008
