date,seaport,ships_arrived,passengers,positive_cases,Rt_mean
20-12-20,total,6,2447,34,0.934535485
21-12-20,total,6,2447,34,0.938769746
22-12-20,total,6,2447,34,0.939328455
23-12-20,total,6,2447,34,0.935915405
24-12-20,total,6,2447,34,0.935020542
25-12-20,total,6,2447,34,0.933054258
26-12-20,total,6,2447,34,0.930833676
27-12-20,total,6,2447,34,0.92408905
28-12-20,total,6,2447,34,0.913865376
29-12-20,total,6,2447,34,0.90849755
30-12-20,total,6,2447,34,0.904780972
31-12-20,total,6,2447,34,0.902425158
01-01-21,total,6,2447,34,0.900768484
02-01-21,total,6,2447,34,0.896421903
03-01-21,total,6,2447,34,0.892873006
04-01-21,total,6,2447,34,0.887212459
05-01-21,total,6,2447,34,0.882794679
06-01-21,total,6,2447,34,0.880531802
07-01-21,total,6,2447,34,0.878224266
08-01-21,total,6,2447,34,0.870644104
09-01-21,total,6,2447,34,0.86597172
10-01-21,total,6,2447,34,0.864445584
11-01-21,total,6,2447,34,0.864006887
12-01-21,total,6,2447,34,0.864055034
13-01-21,total,6,2447,34,0.874226513
14-01-21,total,6,2447,34,0.88106512
15-01-21,total,6,2447,34,0.898833688
16-01-21,total,6,2447,34,0.913707118
17-01-21,total,6,2447,34,0.924057074
18-01-21,total,6,2447,34,0.936139735
19-01-21,total,6,2447,34,0.944829224
21-01-21,total,6,2447,34,0.935886084
22-01-21,total,6,2447,34,0.931707419
23-01-21,total,6,2447,34,0.923371319
24-01-21,total,6,2447,34,0.920935049
25-01-21,total,6,2447,34,0.925632362
26-01-21,total,6,2447,34,0.937775303
27-01-21,total,6,2447,34,0.953745724
28-01-21,total,6,2447,34,0.965087402
29-01-21,total,6,2447,34,0.97055181
30-01-21,total,6,2447,34,0.970998865
31-01-21,total,6,2447,34,0.967152441
01-02-21,total,6,2447,34,0.962417232
02-02-21,total,6,2447,34,0.957176379
03-02-21,total,6,2447,34,0.954458492
04-02-21,total,6,2447,34,0.959011749
05-02-21,total,6,2447,34,0.966301217
06-02-21,total,6,2447,34,0.975105216
07-02-21,total,6,2447,34,0.982438122
08-02-21,total,6,2447,34,0.985703881
09-02-21,total,6,2447,34,0.984632462
10-02-21,total,6,2447,34,0.980416885
11-02-21,total,6,2447,34,0.976317004
12-02-21,total,6,2447,34,0.96944622
13-02-21,total,6,2447,34,0.96221062
14-02-21,total,6,2447,34,0.962490636
15-02-21,total,6,2447,34,0.96774227
16-02-21,total,6,2447,34,0.972648767
17-02-21,total,6,2447,34,0.982639523
18-02-21,total,6,2447,34,0.991875421
19-02-21,total,6,2447,34,1.006715259
20-02-21,total,6,2447,34,1.024270358
21-02-21,total,6,2447,34,1.032453899
22-02-21,total,6,2447,34,1.036661569
23-02-21,total,6,2447,34,1.036703001
24-02-21,total,6,2447,34,1.037274271
25-02-21,total,6,2447,34,1.034038374
26-02-21,total,6,2447,34,1.045206688
27-02-21,total,6,2447,34,1.060559196
28-02-21,total,6,2447,34,1.078036471
01-03-21,total,6,2447,34,1.090465097
02-03-21,total,6,2447,34,1.10617907
03-03-21,total,6,2447,34,1.139482682
04-03-21,total,6,2447,34,1.17352453
05-03-21,total,6,2447,34,1.178760241
06-03-21,total,6,2447,34,1.177673235
07-03-21,total,6,2447,34,1.187004771
08-03-21,total,6,2447,34,1.215509202
09-03-21,total,6,2447,34,1.243611766
10-03-21,total,6,2447,34,1.258028021
11-03-21,total,6,2447,34,1.269840152
12-03-21,total,6,2447,34,1.297259579
13-03-21,total,6,2447,34,1.341970857
14-03-21,total,6,2447,34,1.3702531
15-03-21,total,6,2447,34,1.386461844
16-03-21,total,6,2447,34,1.391509368
17-03-21,total,6,2447,34,1.404139789
18-03-21,total,6,2447,34,1.420801087
19-03-21,total,6,2447,34,1.438842433
20-03-21,total,6,2447,34,1.43910904
21-03-21,total,6,2447,34,1.434814588
22-03-21,total,6,2447,34,1.420399148
23-03-21,total,6,2447,34,1.401742816
24-03-21,total,6,2447,34,1.383858617
25-03-21,total,6,2447,34,1.372779101
26-03-21,total,6,2447,34,1.382240818
27-03-21,total,6,2447,34,1.389378621
28-03-21,total,6,2447,34,1.391040728
29-03-21,total,6,2447,34,1.384854472
30-03-21,total,6,2447,34,1.366824359
31-03-21,total,6,2447,34,1.351408246
01-04-21,total,6,2447,34,1.337409358
02-04-21,total,6,2447,34,1.356420806
03-04-21,total,6,2447,34,1.388101817
04-04-21,total,6,2447,34,1.429833988
05-04-21,total,6,2447,34,1.454146627
06-04-21,total,6,2447,34,1.470716829
07-04-21,total,6,2447,34,1.486615496
08-04-21,total,6,2447,34,1.482804392
09-04-21,total,6,2447,34,1.446840262
10-04-21,total,6,2447,34,1.416033593
11-04-21,total,6,2447,34,1.403902445
12-04-21,total,6,2447,34,1.394600105
13-04-21,total,6,2447,34,1.378602993
14-04-21,total,6,2447,34,1.357519049
15-04-21,total,6,2447,34,1.350034622
16-04-21,total,6,2447,34,1.35236175
17-04-21,total,6,2447,34,1.354015386
18-04-21,total,6,2447,34,1.342131739
19-04-21,total,6,2447,34,1.323478911
20-04-21,total,6,2447,34,1.304661378
21-04-21,total,6,2447,34,1.288239562
22-04-21,total,6,2447,34,1.276255731
23-04-21,total,6,2447,34,1.261648764
24-04-21,total,6,2447,34,1.246164953
25-04-21,total,6,2447,34,1.235422404
26-04-21,total,6,2447,34,1.227305781
27-04-21,total,6,2447,34,1.221063429
28-04-21,total,6,2447,34,1.225618714
29-04-21,total,6,2447,34,1.231727299
30-04-21,total,6,2447,34,1.241097912
01-05-21,total,6,2447,34,1.246473845
02-05-21,total,6,2447,34,1.249557364
03-05-21,total,6,2447,34,1.247653518
04-05-21,total,6,2447,34,1.242610647
05-05-21,total,6,2447,34,1.22917989
06-05-21,total,6,2447,34,1.215029683
07-05-21,total,6,2447,34,1.20297892
08-05-21,total,6,2447,34,1.184846332
09-05-21,total,6,2447,34,1.160578794
10-05-21,total,6,2447,34,1.13929843
11-05-21,total,6,2447,34,1.129887078
12-05-21,total,6,2447,34,1.122540907
14-05-21,total,6,2447,34,1.11337586
15-05-21,total,6,2447,34,1.09632506
16-05-21,total,6,2447,34,1.08160895
17-05-21,total,6,2447,34,1.06750366
18-05-21,total,6,2447,34,1.052033604
19-05-21,total,6,2447,34,1.030477421
20-05-21,total,6,2447,34,0.99080576
21-05-21,total,6,2447,34,0.938671009
22-05-21,total,6,2447,34,0.890712171
23-05-21,total,6,2447,34,0.84523874
24-05-21,total,6,2447,34,0.804822269
26-05-21,total,6,2447,34,0.771071733
27-05-21,total,6,2447,34,0.739224139
30-05-21,total,6,2447,34,0.724478081
02-06-21,total,6,2447,34,0.726428294
03-06-21,total,6,2447,34,0.732370012
04-06-21,total,6,2447,34,0.741501012
05-06-21,total,6,2447,34,0.751614693
06-06-21,total,6,2447,34,0.757569844
07-06-21,total,6,2447,34,0.757451598
08-06-21,total,6,2447,34,0.756343535
09-06-21,total,6,2447,34,0.746824141
10-06-21,total,6,2447,34,0.727131866
11-06-21,total,6,2447,34,0.708746047
12-06-21,total,6,2447,34,0.689963928
13-06-21,total,6,2447,34,0.676315093
14-06-21,total,6,2447,34,0.669889182
15-06-21,total,6,2447,34,0.663236042
16-06-21,total,6,2447,34,0.664699413
17-06-21,total,6,2447,34,0.67553751
18-06-21,total,6,2447,34,0.685955771
