Date,T,U
18.07.2021 20:30,27.4,92
18.07.2021 17:30,28,94
18.07.2021 14:30,30.2,77
18.07.2021 11:30,29.4,82
18.07.2021 08:30,27.6,89
18.07.2021 05:30,27,92
18.07.2021 02:30,26,94
17.07.2021 23:30,27,92
17.07.2021 20:30,28.4,94
17.07.2021 17:30,29.6,88
17.07.2021 14:30,32,63
17.07.2021 11:30,28,92
17.07.2021 08:30,27.4,92
17.07.2021 05:30,26.6,95
17.07.2021 02:30,26.2,95
16.07.2021 23:30,26.2,95
16.07.2021 20:30,26.4,94
16.07.2021 17:30,28.2,89
16.07.2021 14:30,30,78
16.07.2021 11:30,27,94
16.07.2021 08:30,26.4,95
16.07.2021 05:30,25.8,97
16.07.2021 02:30,26.6,92
15.07.2021 23:30,27,94
15.07.2021 20:30,27.8,84
15.07.2021 17:30,26.2,94
15.07.2021 14:30,31.4,70
15.07.2021 11:30,29.8,80
15.07.2021 08:30,26.8,97
15.07.2021 05:30,25.8,95
15.07.2021 02:30,25.6,95
14.07.2021 23:30,26,92
14.07.2021 20:30,26.4,92
14.07.2021 17:30,26.4,92
14.07.2021 14:30,27.4,89
14.07.2021 11:30,28.6,85
14.07.2021 08:30,25.4,99
14.07.2021 05:30,25.2,95
14.07.2021 02:30,25.4,96
13.07.2021 23:30,25.4,95
13.07.2021 20:30,25.2,96
13.07.2021 17:30,28,82
13.07.2021 14:30,27.4,86
13.07.2021 11:30,26.8,92
13.07.2021 08:30,27.4,92
13.07.2021 05:30,26,92
13.07.2021 02:30,26.6,89
12.07.2021 23:30,25.8,90
12.07.2021 20:30,27.2,87
12.07.2021 17:30,27.8,86
12.07.2021 14:30,27.6,90
12.07.2021 11:30,31.4,72
12.07.2021 08:30,28.2,85
12.07.2021 05:30,27,92
12.07.2021 02:30,27.2,90
11.07.2021 23:30,27.4,86
11.07.2021 20:30,29,82
11.07.2021 17:30,31.6,70
11.07.2021 14:30,29.4,81
11.07.2021 11:30,27.8,89
11.07.2021 08:30,26.6,94
11.07.2021 05:30,26,95
11.07.2021 02:30,27,87
10.07.2021 23:30,28,85
10.07.2021 20:30,28.2,82
10.07.2021 17:30,28.8,76
10.07.2021 14:30,28.2,85
10.07.2021 11:30,26.4,86
10.07.2021 08:30,26.2,92
10.07.2021 05:30,25.6,95
10.07.2021 02:30,26,92
09.07.2021 23:30,28,85
09.07.2021 20:30,29.4,72
09.07.2021 17:30,30.8,64
09.07.2021 14:30,30.4,67
09.07.2021 11:30,28.8,85
09.07.2021 08:30,26.4,94
09.07.2021 05:30,25.6,95
09.07.2021 02:30,27,92
08.07.2021 23:30,27,89
08.07.2021 20:30,27.6,90
08.07.2021 17:30,27.8,90
08.07.2021 14:30,29.6,81
08.07.2021 11:30,28.2,87
08.07.2021 08:30,28.4,86
08.07.2021 05:30,29.2,79
08.07.2021 02:30,30,74
07.07.2021 23:30,30.4,70
07.07.2021 20:30,30.6,68
07.07.2021 17:30,32.6,61
07.07.2021 14:30,33,62
07.07.2021 11:30,31.2,73
07.07.2021 08:30,30.2,74
07.07.2021 05:30,27.8,87
07.07.2021 02:30,28.8,80
06.07.2021 23:30,29.2,79
06.07.2021 20:30,30.4,69
06.07.2021 17:30,31.8,66
06.07.2021 14:30,31.2,71
06.07.2021 11:30,30.6,72
06.07.2021 08:30,29.6,81
06.07.2021 05:30,27.6,90
06.07.2021 02:30,29.6,75
05.07.2021 23:30,30,73
05.07.2021 20:30,30.4,73
05.07.2021 17:30,32.8,59
05.07.2021 14:30,33.2,61
05.07.2021 11:30,32.2,63
05.07.2021 08:30,30,77
05.07.2021 05:30,29.4,78
05.07.2021 02:30,29.4,76
04.07.2021 23:30,29.8,74
04.07.2021 20:30,30.4,72
04.07.2021 17:30,32,66
04.07.2021 14:30,33,63
04.07.2021 11:30,32.6,63
04.07.2021 08:30,29.2,82
04.07.2021 05:30,28.8,79
04.07.2021 02:30,29.2,76
03.07.2021 23:30,29.6,77
03.07.2021 20:30,30.2,72
03.07.2021 17:30,32,66
03.07.2021 14:30,33,64
03.07.2021 11:30,32.4,67
03.07.2021 08:30,30.4,72
03.07.2021 05:30,28.6,79
03.07.2021 02:30,29.2,76
02.07.2021 23:30,29.6,75
02.07.2021 20:30,30,72
02.07.2021 17:30,32,65
02.07.2021 14:30,32.6,62
02.07.2021 11:30,32,65
02.07.2021 08:30,29.8,74
02.07.2021 05:30,29,78
02.07.2021 02:30,29,76
01.07.2021 23:30,29.4,74
01.07.2021 20:30,29.8,72
01.07.2021 17:30,31.6,65
01.07.2021 14:30,32.4,64
01.07.2021 11:30,31.6,71
01.07.2021 08:30,29.8,77
01.07.2021 05:30,28,85
01.07.2021 02:30,28.2,85
30.06.2021 23:30,27.4,92
30.06.2021 20:30,27.6,87
30.06.2021 17:30,30,74
30.06.2021 14:30,30.6,73
30.06.2021 11:30,29.4,83
30.06.2021 08:30,28,89
30.06.2021 05:30,27.8,87
30.06.2021 02:30,28.4,86
29.06.2021 23:30,28.6,82
29.06.2021 20:30,29.2,76
29.06.2021 17:30,30.8,70
29.06.2021 14:30,31.6,70
29.06.2021 11:30,30.4,76
29.06.2021 08:30,27.8,83
29.06.2021 05:30,26.6,90
29.06.2021 02:30,26.2,92
28.06.2021 23:30,27.4,83
28.06.2021 20:30,28.2,80
28.06.2021 17:30,30.4,70
28.06.2021 14:30,30.4,73
28.06.2021 11:30,30.4,74
28.06.2021 08:30,27.6,89
28.06.2021 05:30,25.8,93
28.06.2021 02:30,25.6,95
27.06.2021 23:30,26,92
27.06.2021 20:30,26.4,90
27.06.2021 17:30,27.4,90
27.06.2021 14:30,26.6,90
27.06.2021 11:30,29,83
27.06.2021 08:30,29.2,76
27.06.2021 05:30,28.8,78
27.06.2021 02:30,29.4,75
26.06.2021 23:30,29.6,74
26.06.2021 20:30,30,72
26.06.2021 17:30,32,66
26.06.2021 14:30,32,69
26.06.2021 11:30,31,72
26.06.2021 08:30,27.8,89
26.06.2021 05:30,25.8,95
26.06.2021 02:30,25.8,93
25.06.2021 23:30,25.6,93
25.06.2021 20:30,26,92
25.06.2021 17:30,26.4,92
25.06.2021 14:30,26.2,94
25.06.2021 11:30,26.6,84
25.06.2021 08:30,28.4,79
25.06.2021 05:30,28.4,75
25.06.2021 02:30,28.2,78
24.06.2021 23:30,28,83
24.06.2021 20:30,29.2,76
24.06.2021 17:30,29.8,73
24.06.2021 14:30,30.2,73
24.06.2021 11:30,31,69
24.06.2021 08:30,29.4,79
24.06.2021 05:30,28,89
24.06.2021 02:30,27.4,90
23.06.2021 23:30,29.8,73
23.06.2021 20:30,30.2,77
23.06.2021 17:30,32,72
23.06.2021 14:30,31.4,71
23.06.2021 11:30,31.4,71
23.06.2021 08:30,29.8,77
23.06.2021 05:30,28.6,80
23.06.2021 02:30,28.6,82
22.06.2021 23:30,29.8,75
22.06.2021 20:30,29.8,77
22.06.2021 17:30,31.6,70
22.06.2021 14:30,32.6,65
22.06.2021 11:30,31.2,70
22.06.2021 08:30,29,80
22.06.2021 05:30,28.6,80
22.06.2021 02:30,28,85
21.06.2021 23:30,29.2,79
21.06.2021 20:30,29.6,80
21.06.2021 17:30,31.6,66
21.06.2021 14:30,33.2,64
21.06.2021 11:30,31.6,71
21.06.2021 08:30,26.6,94
21.06.2021 05:30,25.8,93
21.06.2021 02:30,26.2,94
20.06.2021 23:30,28.2,86
20.06.2021 20:30,30.4,65
20.06.2021 17:30,30.8,68
20.06.2021 14:30,31.4,71
20.06.2021 11:30,30.4,80
20.06.2021 08:30,30.2,74
20.06.2021 05:30,29,83
20.06.2021 02:30,28.2,86
19.06.2021 23:30,26.6,90
19.06.2021 20:30,27.8,78
19.06.2021 17:30,29.6,71
19.06.2021 14:30,31.6,71
19.06.2021 11:30,28,86
19.06.2021 08:30,26.4,92
19.06.2021 05:30,25.4,87
19.06.2021 02:30,26.4,87
18.06.2021 23:30,29.2,82
18.06.2021 20:30,29.6,81
18.06.2021 17:30,31.4,73
18.06.2021 14:30,32.4,70
18.06.2021 11:30,31.8,76
18.06.2021 08:30,29.2,85
18.06.2021 05:30,26.8,90
18.06.2021 02:30,26.4,90
17.06.2021 23:30,25.4,95
17.06.2021 20:30,25.8,93
17.06.2021 17:30,27,95
17.06.2021 14:30,27.2,90
17.06.2021 11:30,27.8,84
17.06.2021 08:30,28.2,86
17.06.2021 05:30,27,90
17.06.2021 02:30,29,85
16.06.2021 23:30,28,92
16.06.2021 20:30,27,90
16.06.2021 17:30,28.6,82
16.06.2021 14:30,28.4,82
16.06.2021 11:30,25.6,95
16.06.2021 08:30,26.2,94
16.06.2021 05:30,26.2,94
16.06.2021 02:30,27,90
15.06.2021 23:30,27,86
15.06.2021 20:30,28,80
15.06.2021 17:30,28.6,85
15.06.2021 14:30,27.6,86
15.06.2021 11:30,30.2,77
15.06.2021 08:30,29.2,86
15.06.2021 05:30,29,85
15.06.2021 02:30,29.4,85
14.06.2021 23:30,29.8,80
14.06.2021 20:30,30,78
14.06.2021 17:30,32.4,69
14.06.2021 14:30,33,69
14.06.2021 11:30,31,76
14.06.2021 08:30,29.8,85
14.06.2021 05:30,27.4,78
14.06.2021 02:30,28,82
13.06.2021 23:30,28,85
13.06.2021 20:30,29.6,77
13.06.2021 17:30,31,73
13.06.2021 14:30,32,71
13.06.2021 11:30,30.8,80
13.06.2021 08:30,27.4,94
13.06.2021 05:30,27.8,94
13.06.2021 02:30,28.4,86
12.06.2021 23:30,28,85
