dates,I
14/07/2021,2458
15/07/2021,2405
16/07/2021,2312
17/07/2021,2205
19/07/2021,1971
20/07/2021,1904
21/07/2021,1891
22/07/2021,1872
23/07/2021,1830
24/07/2021,1819
25/07/2021,1808
26/07/2021,1785
27/07/2021,1767
28/07/2021,1756
29/07/2021,1859
30/07/2021,1947
31/07/2021,1986
01/08/2021,1990
02/08/2021,1957
03/08/2021,1908
04/08/2021,1949
05/08/2021,1997
06/08/2021,1985
07/08/2021,1969
08/08/2021,1956
09/08/2021,1929
10/08/2021,1893
11/08/2021,1964
12/08/2021,1942
13/08/2021,1933
14/08/2021,1916
15/08/2021,1896
16/08/2021,1851
17/08/2021,1804
18/08/2021,2079
19/08/2021,1702
20/08/2021,1668
21/08/2021,1652
22/08/2021,1630
23/08/2021,1604
24/08/2021,1585
25/08/2021,1573
26/08/2021,1559
27/08/2021,1542
28/08/2021,1551
29/08/2021,1538
30/08/2021,1523
31/08/2021,1512
01/09/2021,1562
02/09/2021,1568
03/09/2021,1568
04/09/2021,1575
05/09/2021,1592
06/09/2021,1556
07/09/2021,1544
08/09/2021,1587
09/09/2021,1596
10/09/2021,1631
11/09/2021,1639
12/09/2021,1608
13/09/2021,1580
14/09/2021,1591
15/09/2021,1658
18/09/2021,1653
19/09/2021,1697
20/09/2021,1661
21/09/2021,1647
22/09/2021,1682
23/09/2021,1745
24/09/2021,1733
25/09/2021,1724
26/09/2021,1694
28/09/2021,1630
30/09/2021,1612
01/10/2021,1597
02/10/2021,1578
03/10/2021,1531
04/10/2021,1467
05/10/2021,1449
06/10/2021,1432
07/10/2021,1390
08/10/2021,1359
09/10/2021,1344
10/10/2021,1329
12/10/2021,1289
14/10/2021,1259
15/10/2021,1245
16/10/2021,1233
17/10/2021,1218
18/10/2021,1192
19/10/2021,1179
20/10/2021,1170
21/10/2021,1164
22/10/2021,1152
23/10/2021,1140
24/10/2021,1127
25/10/2021,1112
26/10/2021,1090
27/10/2021,1075
28/10/2021,1061
29/10/2021,1039
30/10/2021,1021
31/10/2021,1009
01/11/2021,990
02/11/2021,973
03/11/2021,962
04/11/2021,945
05/11/2021,875
06/11/2021,862
07/11/2021,850
08/11/2021,841
09/11/2021,835
10/11/2021,828
11/11/2021,820
12/11/2021,812
13/11/2021,809
14/11/2021,805
15/11/2021,802
16/11/2021,789
17/11/2021,782
18/11/2021,775
19/11/2021,772
20/11/2021,765
21/11/2021,756
22/11/2021,750
23/11/2021,741
24/11/2021,744
25/11/2021,739
26/11/2021,746
27/11/2021,740
28/11/2021,736
29/11/2021,730
30/11/2021,720
01/12/2021,718
02/12/2021,715
03/12/2021,711
04/12/2021,731
05/12/2021,724
06/12/2021,719
07/12/2021,710
08/12/2021,703
09/12/2021,698
10/12/2021,688
11/12/2021,681
13/12/2021,657
14/12/2021,649
15/12/2021,640
16/12/2021,627
17/12/2021,621
18/12/2021,613
19/12/2021,605
20/12/2021,605
21/12/2021,602
22/12/2021,604
23/12/2021,607
24/12/2021,597
25/12/2021,606
26/12/2021,610
27/12/2021,605
28/12/2021,619
29/12/2021,739
30/12/2021,890
31/12/2021,1155
01/01/2022,1489
02/01/2022,1594
03/01/2022,1728
04/01/2022,2731
05/01/2022,4862
06/01/2022,6983
07/01/2022,8981
08/01/2022,10978
09/01/2022,12895
10/01/2022,13990
12/01/2022,17934
14/01/2022,23459
15/01/2022,23989
16/01/2022,23975
17/01/2022,23443
18/01/2022,23888
19/01/2022,26981
20/01/2022,28561
21/01/2022,29870
22/01/2022,30744
23/01/2022,30580
24/01/2022,30215
25/01/2022,30055
