date,comorbidities_government_dme,comorbidities_government_dms,comorbidities_private,comorbidities_other_government_institutions,comorbidities_total,no_comorbidities_government_dme,no_comorbidities_government_dms,no_comorbidities_private,no_comorbidities_other_government_institutions,no_comorbidities_total,Rt_mean
19-12-21,4,0,2,,6,0,0,0,,0,0.966471142
20-12-21,4,0,2,,6,0,0,0,,0,0.977042712
21-12-21,1,0,2,,5,0,0,0,,0,0.984683039
22-12-21,3,0,3,,8,0,0,0,,0,0.994292986
23-12-21,5,0,3,,8,0,0,0,,0,1.029763476
24-12-21,4,0,3,,7,0,0,0,,0,1.097821755
25-12-21,5,1,4,,11,0,0,0,,0,1.223983266
26-12-21,5,0,5,,10,0,0,0,,0,1.408124124
27-12-21,4,0,5,,9,0,0,0,,0,1.575682551
28-12-21,4,0,2,,6,0,0,0,,0,1.708361911
29-12-21,3,0,3,,7,1,0,0,,1,1.953280577
30-12-21,5,0,2,,7,0,0,0,,0,2.427467264
31-12-21,6,0,3,,11,0,0,0,,0,2.969622068
01-01-22,3,0,4,,7,1,0,0,,1,3.353005434
02-01-22,2,0,2,,4,2,0,0,,2,3.463002081
03-01-22,4,0,1,,6,0,0,0,,0,3.361384111
04-01-22,4,1,4,,9,0,0,0,,0,3.112308495
05-01-22,3,0,5,,9,0,0,0,,0,2.904560114
06-01-22,4,0,7,,11,0,0,0,,0,2.753118813
07-01-22,2,0,5,,8,0,0,0,,0,2.522369359
08-01-22,4,0,5,,10,0,0,0,,0,2.258487265
09-01-22,6,0,4,,12,0,0,0,,0,1.999314329
10-01-22,7,0,3,,11,0,0,0,,0,1.785444977
12-01-22,11,0,7,,19,0,0,0,,0,1.652393699
14-01-22,11,1,10,,23,1,1,1,,3,1.539509038
15-01-22,6,0,4,,11,0,0,0,,0,1.425090852
16-01-22,7,0,11,,20,1,0,0,,2,1.341853326
17-01-22,10,0,10,,20,0,0,0,,0,1.281211374
18-01-22,13,0,13,,29,0,0,0,,0,1.240434551
19-01-22,8,1,23,,35,0,0,0,,0,1.209383728
