,Date,State/UnionTerritory,Confirmed,new_cases
66,08-03-2020,Tamil Nadu,1,0.0
78,09-03-2020,Tamil Nadu,1,0.0
93,10-03-2020,Tamil Nadu,1,0.0
104,11-03-2020,Tamil Nadu,1,0.0
115,12-03-2020,Tamil Nadu,1,0.0
128,13-03-2020,Tamil Nadu,1,0.0
141,14-03-2020,Tamil Nadu,1,0.0
155,15-03-2020,Tamil Nadu,1,0.0
170,16-03-2020,Tamil Nadu,1,0.0
185,17-03-2020,Tamil Nadu,1,0.0
201,18-03-2020,Tamil Nadu,1,0.0
219,19-03-2020,Tamil Nadu,2,1.0
239,20-03-2020,Tamil Nadu,3,1.0
261,21-03-2020,Tamil Nadu,3,0.0
284,22-03-2020,Tamil Nadu,7,4.0
307,23-03-2020,Tamil Nadu,9,2.0
331,24-03-2020,Tamil Nadu,15,6.0
356,25-03-2020,Tamil Nadu,18,3.0
386,26-03-2020,Tamil Nadu,26,8.0
413,27-03-2020,Tamil Nadu,29,3.0
440,28-03-2020,Tamil Nadu,40,11.0
467,29-03-2020,Tamil Nadu,49,9.0
494,30-03-2020,Tamil Nadu,67,18.0
522,31-03-2020,Tamil Nadu,74,7.0
552,01-04-2020,Tamil Nadu,234,160.0
581,02-04-2020,Tamil Nadu,234,0.0
611,03-04-2020,Tamil Nadu,309,75.0
642,04-04-2020,Tamil Nadu,411,102.0
672,05-04-2020,Tamil Nadu,485,74.0
702,06-04-2020,Tamil Nadu,571,86.0
732,07-04-2020,Tamil Nadu,621,50.0
763,08-04-2020,Tamil Nadu,690,69.0
794,09-04-2020,Tamil Nadu,738,48.0
825,10-04-2020,Tamil Nadu,834,96.0
856,11-04-2020,Tamil Nadu,911,77.0
