Date,State,Confirmed,New Cases,T,H
11/06/2020,Kerala,2161,65,28.0,81.0
12/06/2020,Kerala,2244,83,29.67,78.0
13/06/2020,Kerala,2322,78,19.67,50.0
14/06/2020,Kerala,2407,85,28.0,84.0
15/06/2020,Kerala,2461,54,30.33,75.0
16/06/2020,Kerala,2543,82,29.67,75.0
17/06/2020,Kerala,2622,79,19.33,54.0
18/06/2020,Kerala,2697,75,29.67,73.0
19/06/2020,Kerala,2794,97,28.33,78.0
20/06/2020,Kerala,2912,118,29.67,75.0
21/06/2020,Kerala,3039,127,28.0,82.0
22/06/2020,Kerala,3172,133,28.67,76.0
23/06/2020,Kerala,3310,138,29.67,73.0
24/06/2020,Kerala,3451,141,30.0,73.0
25/06/2020,Kerala,3603,152,28.33,79.0
26/06/2020,Kerala,3726,123,26.67,84.0
27/06/2020,Kerala,3876,150,27.67,81.0
28/06/2020,Kerala,4071,195,18.67,56.0
29/06/2020,Kerala,4189,118,27.67,86.0
30/06/2020,Kerala,4189,0,28.67,75.0
01/07/2020,Kerala,4442,253,29.0,76.0
02/07/2020,Kerala,4593,151,29.0,75.0
03/07/2020,Kerala,4753,160,28.0,77.0
04/07/2020,Kerala,4964,211,28.33,81.0
05/07/2020,Kerala,5204,240,29.33,82.0
06/07/2020,Kerala,5429,225,27.67,82.0
07/07/2020,Kerala,5622,193,29.33,74.0
08/07/2020,Kerala,5894,272,29.0,71.0
09/07/2020,Kerala,6195,301,28.33,77.0
10/07/2020,Kerala,6534,339,28.33,74.0
11/07/2020,Kerala,6950,416,28.67,79.0
12/07/2020,Kerala,7438,488,28.33,79.0
13/07/2020,Kerala,7873,435,28.67,81.0
14/07/2020,Kerala,8322,449,29.33,72.0
15/07/2020,Kerala,8930,608,28.0,79.0
16/07/2020,Kerala,9553,623,27.0,82.0
17/07/2020,Kerala,10275,722,27.0,79.0
18/07/2020,Kerala,11066,791,28.33,71.0
19/07/2020,Kerala,11659,593,27.33,82.0
