,Date,T,U
0,11.09.2020,30.47,68.0
0,12.09.2020,27.6,82.0
0,13.09.2020,26.13,92.0
0,14.09.2020,27.33,77.0
0,15.09.2020,28.0,80.0
0,16.09.2020,29.2,82.0
0,17.09.2020,28.4,85.0
0,18.09.2020,28.07,81.0
0,19.09.2020,26.93,85.0
0,20.09.2020,27.33,77.0
0,21.09.2020,28.6,72.0
0,22.09.2020,29.67,76.0
0,23.09.2020,29.67,73.0
0,24.09.2020,29.53,75.0
0,25.09.2020,28.07,79.0
0,26.09.2020,28.47,83.0
0,27.09.2020,29.53,78.0
0,28.09.2020,26.6,85.0
0,29.09.2020,25.93,89.0
0,30.09.2020,27.4,78.0
0,01.10.2020,29.07,77.0
0,02.10.2020,30.0,77.0
0,03.10.2020,29.73,74.0
0,04.10.2020,29.67,71.0
0,05.10.2020,30.33,68.0
0,06.10.2020,31.07,77.0
0,07.10.2020,29.4,81.0
0,08.10.2020,29.53,81.0
0,09.10.2020,28.2,85.0
0,10.10.2020,28.47,83.0
0,11.10.2020,28.2,80.0
0,12.10.2020,27.2,86.0
0,13.10.2020,30.07,67.0
0,14.10.2020,29.13,63.0
0,15.10.2020,29.27,73.0
0,16.10.2020,30.13,77.0
0,17.10.2020,27.87,86.0
0,18.10.2020,25.73,93.0
0,19.10.2020,28.33,83.0
0,20.10.2020,27.47,86.0
0,21.10.2020,27.67,85.0
0,22.10.2020,25.6,92.0
0,23.10.2020,28.07,84.0
0,24.10.2020,26.8,85.0
0,25.10.2020,28.27,80.0
0,26.10.2020,28.47,78.0
0,27.10.2020,28.07,83.0
0,28.10.2020,27.4,79.0
0,29.10.2020,24.8,87.0
0,30.10.2020,27.47,76.0
0,31.10.2020,27.8,75.0
0,01.11.2020,27.73,80.0
0,02.11.2020,28.27,83.0
0,03.11.2020,29.07,79.0
0,04.11.2020,27.6,88.0
0,05.11.2020,27.8,85.0
0,06.11.2020,27.47,88.0
0,07.11.2020,26.8,91.0
0,08.11.2020,27.4,79.0
0,09.11.2020,27.13,74.0
0,10.11.2020,26.33,76.0
0,11.11.2020,25.67,89.0
0,12.11.2020,25.8,91.0
0,13.11.2020,27.4,88.0
0,14.11.2020,28.6,77.0
0,15.11.2020,26.87,90.0
0,16.11.2020,25.47,93.0
0,17.11.2020,26.07,90.0
0,18.11.2020,27.27,87.0
0,19.11.2020,27.67,86.0
0,20.11.2020,26.53,83.0
0,21.11.2020,25.73,76.0
0,22.11.2020,26.4,76.0
0,23.11.2020,26.53,85.0
0,24.11.2020,24.73,93.0
0,25.11.2020,24.4,97.0
0,26.11.2020,22.73,95.0
0,27.11.2020,24.33,81.0
0,28.11.2020,26.53,82.0
0,29.11.2020,25.73,87.0
0,30.11.2020,26.0,84.0
0,01.12.2020,26.07,77.0
0,02.12.2020,25.53,88.0
0,03.12.2020,25.0,92.0
0,04.12.2020,24.6,93.0
0,05.12.2020,25.33,92.0
0,06.12.2020,26.33,88.0
0,07.12.2020,26.53,91.0
0,08.12.2020,25.73,93.0
0,09.12.2020,25.13,84.0
0,10.12.2020,24.8,81.0
0,11.12.2020,24.73,81.0
0,12.12.2020,24.87,79.0
0,13.12.2020,25.2,81.0
0,14.12.2020,25.07,80.0
0,15.12.2020,26.27,79.0
0,16.12.2020,26.6,83.0
0,17.12.2020,26.47,84.0
0,18.12.2020,26.6,82.0
0,19.12.2020,25.87,78.0
0,20.12.2020,25.47,68.0
0,21.12.2020,24.47,72.0
0,22.12.2020,23.73,77.0
0,23.12.2020,23.67,76.0
0,24.12.2020,23.93,77.0
0,25.12.2020,24.53,74.0
0,26.12.2020,25.13,81.0
0,27.12.2020,25.07,81.0
0,28.12.2020,25.27,75.0
0,29.12.2020,26.33,77.0
0,30.12.2020,26.07,89.0
0,31.12.2020,26.53,73.0
0,01.01.2021,25.67,75.0
0,02.01.2021,24.93,88.0
0,03.01.2021,25.4,85.0
0,04.01.2021,26.2,84.0
0,05.01.2021,24.27,93.0
0,06.01.2021,25.27,91.0
0,07.01.2021,25.8,89.0
0,08.01.2021,26.07,88.0
0,09.01.2021,26.53,85.0
0,10.01.2021,26.8,86.0
0,11.01.2021,26.53,86.0
0,12.01.2021,26.47,85.0
0,13.01.2021,26.07,83.0
0,14.01.2021,26.0,84.0
0,15.01.2021,25.2,81.0
0,16.01.2021,25.27,80.0
0,17.01.2021,24.87,76.0
0,18.01.2021,25.33,76.0
0,19.01.2021,26.33,74.0
0,20.01.2021,26.4,81.0
0,21.01.2021,26.53,88.0
0,22.01.2021,26.0,85.0
0,23.01.2021,25.73,81.0
0,24.01.2021,25.27,80.0
0,25.01.2021,25.53,77.0
0,26.01.2021,25.53,74.0
0,27.01.2021,25.0,77.0
0,28.01.2021,25.87,81.0
0,29.01.2021,26.27,78.0
0,30.01.2021,26.53,82.0
0,31.01.2021,26.67,76.0
0,01.02.2021,26.47,75.0
0,02.02.2021,26.47,77.0
0,03.02.2021,26.07,69.0
0,04.02.2021,25.13,77.0
0,05.02.2021,25.13,79.0
0,06.02.2021,24.73,81.0
0,07.02.2021,25.6,78.0
0,08.02.2021,25.47,69.0
0,09.02.2021,26.13,58.0
0,10.02.2021,25.0,69.0
0,11.02.2021,23.93,66.0
0,12.02.2021,25.33,66.0
0,13.02.2021,25.07,73.0
0,14.02.2021,24.73,75.0
0,15.02.2021,24.67,76.0
0,16.02.2021,25.0,76.0
0,17.02.2021,28.94728323699422,75.58574181117534
0,18.02.2021,26.07,72.0
0,19.02.2021,26.6,78.0
0,20.02.2021,25.53,79.0
0,21.02.2021,26.8,77.0
0,22.02.2021,27.4,77.0
0,23.02.2021,26.4,79.0
0,24.02.2021,25.93,74.0
0,25.02.2021,26.07,76.0
0,26.02.2021,26.33,80.0
0,27.02.2021,26.47,77.0
0,28.02.2021,26.2,72.0
0,01.03.2021,26.53,79.0
0,02.03.2021,26.67,79.0
0,03.03.2021,26.2,79.0
0,04.03.2021,26.53,67.0
0,05.03.2021,26.93,66.0
0,06.03.2021,27.53,71.0
0,07.03.2021,28.8,68.0
0,08.03.2021,28.2,71.0
0,09.03.2021,28.8,69.0
0,10.03.2021,28.4,72.0
0,11.03.2021,28.73,66.0
0,12.03.2021,27.47,72.0
0,13.03.2021,27.8,64.0
0,14.03.2021,28.3,67.0
0,15.03.2021,28.2,72.0
0,16.03.2021,27.87,75.0
0,17.03.2021,27.53,68.0
0,18.03.2021,28.13,63.0
0,19.03.2021,27.4,66.0
0,20.03.2021,27.67,73.0
0,21.03.2021,28.4,69.0
0,22.03.2021,28.73,71.0
0,23.03.2021,28.47,71.0
0,24.03.2021,29.0,73.0
0,25.03.2021,29.33,71.0
0,26.03.2021,29.2,73.0
0,27.03.2021,29.53,70.0
0,28.03.2021,28.94728323699422,75.58574181117534
0,29.03.2021,29.63,75.0
0,30.03.2021,30.27,77.0
0,31.03.2021,30.8,77.0
0,01.04.2021,31.13,77.0
0,02.04.2021,31.87,70.0
0,03.04.2021,30.97,77.0
0,04.04.2021,30.2,83.0
0,05.04.2021,30.13,71.0
0,06.04.2021,29.47,74.0
0,07.04.2021,29.53,71.0
0,08.04.2021,29.93,69.0
0,09.04.2021,28.93,71.0
0,10.04.2021,29.67,72.0
0,11.04.2021,30.07,74.0
0,12.04.2021,30.0,75.0
0,13.04.2021,30.4,70.0
0,14.04.2021,30.2,76.0
0,15.04.2021,26.93,78.0
0,16.04.2021,29.87,75.0
0,17.04.2021,30.6,69.0
0,18.04.2021,31.33,72.0
0,19.04.2021,31.33,72.0
0,20.04.2021,31.0,74.0
0,21.04.2021,30.93,75.0
0,22.04.2021,30.8,77.0
0,23.04.2021,30.73,72.0
0,24.04.2021,31.2,75.0
0,25.04.2021,30.87,71.0
0,26.04.2021,30.87,70.0
0,27.04.2021,31.0,71.0
0,28.04.2021,31.13,71.0
0,29.04.2021,31.47,68.0
0,30.04.2021,31.2,73.0
0,01.05.2021,30.8,78.0
0,02.05.2021,30.87,73.0
0,03.05.2021,30.53,74.0
0,04.05.2021,31.07,70.0
0,05.05.2021,31.27,72.0
0,06.05.2021,31.67,70.0
0,07.05.2021,31.07,70.0
0,08.05.2021,30.87,69.0
0,09.05.2021,31.53,65.0
0,10.05.2021,31.2,67.0
0,11.05.2021,32.33,68.0
0,12.05.2021,31.6,72.0
0,13.05.2021,31.4,74.0
0,14.05.2021,31.8,69.0
0,15.05.2021,31.8,71.0
0,16.05.2021,31.53,73.0
0,17.05.2021,32.13,74.0
0,18.05.2021,32.33,75.0
0,19.05.2021,32.07,72.0
0,20.05.2021,28.94728323699422,75.58574181117534
0,21.05.2021,27.0,79.0
0,22.05.2021,29.6,75.0
0,23.05.2021,31.2,73.0
0,24.05.2021,32.2,70.0
0,25.05.2021,31.47,68.0
0,26.05.2021,33.8,59.0
0,27.05.2021,33.67,56.0
0,28.05.2021,32.2,63.0
0,29.05.2021,32.27,64.0
0,30.05.2021,32.73,63.0
0,31.05.2021,32.27,66.0
0,01.06.2021,32.6,67.0
0,02.06.2021,32.0,74.0
0,03.06.2021,31.4,76.0
0,04.06.2021,31.2,77.0
0,05.06.2021,31.27,75.0
0,06.06.2021,31.0,72.0
0,07.06.2021,29.53,78.0
0,08.06.2021,30.8,80.0
0,09.06.2021,31.67,68.0
0,10.06.2021,32.0,66.0
0,11.06.2021,31.27,64.0
0,12.06.2021,30.4,73.0
0,13.06.2021,31.8,62.0
0,14.06.2021,31.4,64.0
0,15.06.2021,31.87,67.0
0,16.06.2021,32.67,58.0
0,17.06.2021,32.0,70.0
0,18.06.2021,31.53,68.0
