date,testing_facilities,government_testing_facilities,private_testing_facilities,active_cases_yesterday,positive_tested_cases,discharged_patients,deaths_today,active_cases_today,new_active_cases_today
02-01-22,321,69,252,8340,1594,624,6,9304,964
03-01-22,321,69,252,9304,1728,662,6,10364,1060
04-01-22,321,69,252,10364,2731,674,9,12412,2048
05-01-22,321,69,252,12412,4862,688,9,16577,4165
06-01-22,321,69,252,16577,6983,721,11,22828,6251
07-01-22,321,69,252,22828,8981,984,8,30817,7989
08-01-22,321,69,252,30817,10978,1525,10,40260,9443
09-01-22,321,69,252,40260,12895,1808,12,51335,11075
10-01-22,321,69,252,51335,13990,2547,11,62767,11432
12-01-22,321,69,252,75083,17934,4039,19,88959,13876
14-01-22,322,69,253,103610,23459,9026,26,118017,14407
15-01-22,323,69,254,118017,23989,10988,11,131007,12990
16-01-22,323,69,254,131007,23975,12484,22,142476,11469
17-01-22,323,69,254,142476,23443,13551,20,152348,9872
18-01-22,325,69,256,152348,23888,15036,29,161171,8823
19-01-22,325,69,256,161171,26981,17456,35,170661,9490
20-01-22,326,69,257,170661,28561,19978,39,179205,8544
21-01-22,326,69,257,179205,29870,21684,33,187358,8153
22-01-22,328,69,259,187358,30744,23372,33,194697,7339
23-01-22,330,69,261,194697,30580,24283,40,200954,6257
24-01-22,330,69,261,200954,30215,24639,46,206484,5530
25-01-22,331,69,262,206484,30055,25221,48,211270,4786
